outlet_osm_id,outlet_name,outlet_type,suburb,outlet_lat,outlet_lon,sku,category,product_name,last_delivery_date,days_since_delivery,implied_stock,daily_depletion,stockout_probability
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,BEV001,beverages,Afia Juice,2024-12-16,7,5.5,0.64,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,BEV002,beverages,Pick n Peel Juice,2024-12-16,7,10.3,0.67,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,BEV003,beverages,Tusker Lager,2024-12-23,0,20.0,0.75,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,BEV004,beverages,Coca-Cola Soda,2024-12-16,7,4.4,0.51,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,FLR001,flour,Jogoo Maize Flour,2024-12-02,21,8.3,1.13,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,FLR002,flour,Jogoo Maize Flour,2024-12-23,0,21.0,0.99,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,FLR003,flour,Pembe Maize Flour,2024-12-16,7,23.7,1.18,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,FLR004,flour,Kabras Maize Flour,2024-12-09,14,6.8,1.02,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,OIL001,cooking_oil,Golden Fry Cooking Oil,2024-12-16,7,14.2,0.97,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,OIL002,cooking_oil,Golden Fry Cooking Oil,2024-12-02,21,6.9,1.01,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,OIL003,cooking_oil,Soya King Cooking Oil,2024-12-23,0,14.0,0.91,0.1
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,OIL004,cooking_oil,Soya King Cooking Oil,2024-12-16,7,7.4,0.94,0.5
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,PC001,personal_care,Vaseline Body Lotion,2024-12-23,0,12.0,0.57,0.1
